DateTime;Players;Average Players
2012-10-09;17936;
2012-10-10;17658;
2012-10-11;16103;
2012-10-12;17560;
2012-10-13;20134;
2012-10-14;18887;
2012-10-15;17456;
2012-10-16;17615;
2012-10-17;16026;
2012-10-18;14962;
2012-10-19;14962;
2012-10-20;18497;
2012-10-21;17996;
2012-10-22;20850;
2012-10-23;19681;
2012-10-24;16201;
2012-10-25;15101;
2012-10-26;15726;
2012-10-27;17922;
2012-10-28;17605;
2012-10-29;16441;
2012-10-30;16271;
2012-10-31;21291;
2012-11-01;50533;
2012-11-02;48271;
2012-11-03;50533;
2012-11-04;46933;
2012-11-05;25474;
2012-11-06;21163;
2012-11-07;21219;
2012-11-08;21111;
2012-11-09;20632;
2012-11-10;22880;
2012-11-11;22968;
2012-11-12;21888;
2012-11-13;19577;
2012-11-14;18505;
2012-11-15;18543;
2012-11-16;18418;
2012-11-17;20597;
2012-11-18;20396;
2012-11-19;20234;
2012-11-20;18273;
2012-11-21;18847;
2012-11-22;18933;
2012-11-23;18997;
2012-11-24;21512;
2012-11-25;21431;
2012-11-26;23465;
2012-11-27;23465;
2012-11-28;23597;
2012-11-29;22501;
2012-11-30;20615;
2012-12-01;27553;
2012-12-02;23130;
2012-12-03;22426;
2012-12-04;21727;
2012-12-05;22137;
2012-12-06;22319;
2012-12-07;22826;
2012-12-08;25803;
2012-12-09;25358;
2012-12-10;25377;
2012-12-11;23761;
2012-12-12;22429;
2012-12-13;22092;
2012-12-14;20909;
2012-12-15;23713;
2012-12-16;23469;
2012-12-17;23170;
2012-12-18;22656;
2012-12-19;21486;
2012-12-20;21147;
2012-12-21;20912;
2012-12-22;22622;
2012-12-23;22859;
2012-12-24;18249;
2012-12-25;20428;
2012-12-26;23400;
2012-12-27;24745;
2012-12-28;26396;
2012-12-29;27994;
2012-12-30;28208;
2012-12-31;25071;
2013-01-01;31359;
2013-01-02;27365;
2013-01-03;27971;
2013-01-04;27057;
2013-01-05;31275;
2013-01-06;31343;
2013-01-07;30480;
2013-01-08;28874;
2013-01-09;27372;
2013-01-10;27760;
2013-01-11;26010;
2013-01-12;29060;
2013-01-13;28927;
2013-01-14;27930;
2013-01-15;27010;
2013-01-16;26002;
2013-01-17;25946;
2013-01-18;24670;
2013-01-19;28609;
2013-01-20;29421;
2013-01-21;29341;
2013-01-22;27271;
2013-01-23;27272;
2013-01-24;27283;
2013-01-25;25976;
2013-01-26;29566;
2013-01-27;29562;
2013-01-28;27828;
2013-01-29;26654;
2013-01-30;26292;
2013-01-31;26210;
2013-02-01;35238;
2013-02-02;29588;
2013-02-03;29340;
2013-02-04;27967;
2013-02-05;27481;
2013-02-06;25874;
2013-02-07;28358;
2013-02-08;30390;
2013-02-09;35597;
2013-02-10;35045;
2013-02-11;34252;
2013-02-12;31613;
2013-02-13;27439;
2013-02-14;27935;
2013-02-15;28986;
2013-02-16;33189;
2013-02-17;33110;
2013-02-18;32053;
2013-02-19;28067;
2013-02-20;27828;
2013-02-21;27767;
2013-02-22;27851;
2013-02-23;31712;
2013-02-24;31543;
2013-02-25;30443;
2013-02-26;27140;
2013-02-27;28512;
2013-02-28;28767;
2013-03-01;32166;
2013-03-02;30889;
2013-03-03;30876;
2013-03-04;28744;
2013-03-05;25903;
2013-03-06;25812;
2013-03-07;25131;
2013-03-08;25565;
2013-03-09;30029;
2013-03-10;29917;
2013-03-11;27834;
2013-03-12;24446;
2013-03-13;26247;
2013-03-14;26156;
2013-03-15;25555;
2013-03-16;29444;
2013-03-17;29023;
2013-03-18;28466;
2013-03-19;27964;
2013-03-20;27635;
2013-03-21;27453;
2013-03-22;27805;
2013-03-23;32372;
2013-03-24;32414;
2013-03-25;30489;
2013-03-26;28046;
2013-03-27;28144;
2013-03-28;28468;
2013-03-29;27440;
2013-03-30;28343;
2013-03-31;29407;
2013-04-01;31966;
2013-04-02;26055;
2013-04-03;27938;
2013-04-04;28890;
2013-04-05;28687;
2013-04-06;32163;
2013-04-07;29464;
2013-04-08;27843;
2013-04-09;26959;
2013-04-10;29239;
2013-04-11;27137;
2013-04-12;28237;
2013-04-13;31604;
2013-04-14;29982;
2013-04-15;28795;
2013-04-16;27768;
2013-04-17;28493;
2013-04-18;27078;
2013-04-19;26886;
2013-04-20;30920;
2013-04-21;29952;
2013-04-22;28106;
2013-04-23;24738;
2013-04-24;27216;
2013-04-25;26661;
2013-04-26;27160;
2013-04-27;31433;
2013-04-28;30521;
2013-04-29;27756;
2013-04-30;25652;
2013-05-01;53379;
2013-05-02;26397;
2013-05-03;26495;
2013-05-04;29255;
2013-05-05;27964;
2013-05-06;28146;
2013-05-07;27001;
2013-05-08;26336;
2013-05-09;25718;
2013-05-10;26579;
2013-05-11;29611;
2013-05-12;29199;
2013-05-13;26626;
2013-05-14;25655;
2013-05-15;30732;
2013-05-16;44688;
2013-05-17;51786;
2013-05-18;53381;
2013-05-19;42315;
2013-05-20;36850;
2013-05-21;35039;
2013-05-22;34418;
2013-05-23;32069;
2013-05-24;31723;
2013-05-25;34871;
2013-05-26;35724;
2013-05-27;33689;
2013-05-28;31426;
2013-05-29;33106;
2013-05-30;31084;
2013-05-31;29297;
2013-06-01;33700;
2013-06-02;33448;
2013-06-03;31806;
2013-06-04;30594;
2013-06-05;30352;
2013-06-06;29284;
2013-06-07;27103;
2013-06-08;31842;
2013-06-09;32327;
2013-06-10;31795;
2013-06-11;30957;
2013-06-12;32008;
2013-06-13;31419;
2013-06-14;28737;
2013-06-15;33321;
2013-06-16;33951;
2013-06-17;32652;
2013-06-18;32167;
2013-06-19;31193;
2013-06-20;30594;
2013-06-21;27317;
2013-06-22;32706;
2013-06-23;33993;
2013-06-24;33041;
2013-06-25;31838;
2013-06-26;30794;
2013-06-27;29569;
2013-06-28;28882;
2013-06-29;32710;
2013-06-30;34595;
2013-07-01;42149;
2013-07-02;32455;
2013-07-03;31636;
2013-07-04;30239;
2013-07-05;27674;
2013-07-06;31678;
2013-07-07;32206;
2013-07-08;31697;
2013-07-09;30258;
2013-07-10;32813;
2013-07-11;33125;
2013-07-12;32587;
2013-07-13;34917;
2013-07-14;34838;
2013-07-15;34126;
2013-07-16;33547;
2013-07-17;32170;
2013-07-18;32223;
2013-07-19;32595;
2013-07-20;40569;
2013-07-21;42411;
2013-07-22;41475;
2013-07-23;39024;
2013-07-24;36747;
2013-07-25;36289;
2013-07-26;32931;
2013-07-27;37093;
2013-07-28;36972;
2013-07-29;36514;
2013-07-30;36026;
2013-07-31;34224;
2013-08-01;50511;
2013-08-02;29267;
2013-08-03;34251;
2013-08-04;33586;
2013-08-05;33848;
2013-08-06;33104;
2013-08-07;31589;
2013-08-08;31024;
2013-08-09;30076;
2013-08-10;34349;
2013-08-11;34091;
2013-08-12;33995;
2013-08-13;40211;
2013-08-14;45862;
2013-08-15;45696;
2013-08-16;44982;
2013-08-17;51627;
2013-08-18;49450;
2013-08-19;48268;
2013-08-20;46910;
2013-08-21;48341;
2013-08-22;45988;
2013-08-23;44294;
2013-08-24;48892;
2013-08-25;47363;
2013-08-26;45160;
2013-08-27;45129;
2013-08-28;45692;
2013-08-29;43360;
2013-08-30;43062;
2013-08-31;42838;
2013-09-01;52052;
2013-09-02;44064;
2013-09-03;41754;
2013-09-04;43413;
2013-09-05;41612;
2013-09-06;44671;
2013-09-07;50837;
2013-09-08;46553;
2013-09-09;42807;
2013-09-10;40965;
2013-09-11;44712;
2013-09-12;44173;
2013-09-13;47175;
2013-09-14;51134;
2013-09-15;46788;
2013-09-16;42682;
2013-09-17;38693;
2013-09-18;42817;
2013-09-19;44988;
2013-09-20;47978;
2013-09-21;51215;
2013-09-22;45591;
2013-09-23;44195;
2013-09-24;43113;
2013-09-25;44295;
2013-09-26;44191;
2013-09-27;45445;
2013-09-28;52004;
2013-09-29;46878;
2013-09-30;42579;
2013-10-01;53263;
2013-10-02;44219;
2013-10-03;42554;
2013-10-04;43194;
2013-10-05;48221;
2013-10-06;46625;
2013-10-07;45631;
2013-10-08;44330;
2013-10-09;44567;
2013-10-10;41443;
2013-10-11;46872;
2013-10-12;52505;
2013-10-13;52332;
2013-10-14;47132;
2013-10-15;47603;
2013-10-16;44705;
2013-10-17;49287;
2013-10-18;48652;
2013-10-19;53263;
2013-10-20;49372;
2013-10-21;46715;
2013-10-22;45345;
2013-10-23;47537;
2013-10-24;47509;
2013-10-25;49242;
2013-10-26;52908;
2013-10-27;52609;
2013-10-28;53061;
2013-10-29;49050;
2013-10-30;47127;
2013-10-31;43335;
2013-11-01;92279;
2013-11-02;52225;
2013-11-03;51945;
2013-11-04;46217;
2013-11-05;43695;
2013-11-06;45985;
2013-11-07;46292;
2013-11-08;47880;
2013-11-09;50516;
2013-11-10;51656;
2013-11-11;51656;
2013-11-12;48262;
2013-11-13;47358;
2013-11-14;46445;
2013-11-15;47610;
2013-11-16;54097;
2013-11-17;52557;
2013-11-18;48956;
2013-11-19;47722;
2013-11-20;49817;
2013-11-21;50327;
2013-11-22;51302;
2013-11-23;52710;
2013-11-24;51237;
2013-11-25;49528;
2013-11-26;48311;
2013-11-27;67049;
2013-11-28;73677;
2013-11-29;93905;
2013-11-30;93640;
2013-12-01;96298;
2013-12-02;81641;
2013-12-03;78667;
2013-12-04;75789;
2013-12-05;75235;
2013-12-06;75289;
2013-12-07;80321;
2013-12-08;77890;
2013-12-09;74958;
2013-12-10;69524;
2013-12-11;67997;
2013-12-12;67674;
2013-12-13;65867;
2013-12-14;72724;
2013-12-15;71647;
2013-12-16;69087;
2013-12-17;66543;
2013-12-18;72892;
2013-12-19;74706;
2013-12-20;75142;
2013-12-21;76822;
2013-12-22;89016;
2013-12-23;87510;
2013-12-24;72726;
2013-12-25;79037;
2013-12-26;82807;
2013-12-27;83986;
2013-12-28;91298;
2013-12-29;91594;
2013-12-30;96673;
2013-12-31;85116;
2014-01-01;102084;
2014-01-02;96254;
2014-01-03;101904;
2014-01-04;100158;
2014-01-05;100114;
2014-01-06;100114;
2014-01-07;95319;
2014-01-08;93459;
2014-01-09;93029;
2014-01-10;96219;
2014-01-11;102464;
2014-01-12;98730;
2014-01-13;91440;
2014-01-14;88658;
2014-01-15;92402;
2014-01-16;89443;
2014-01-17;90641;
2014-01-18;92730;
2014-01-19;89022;
2014-01-20;88214;
2014-01-21;89373;
2014-01-22;87207;
2014-01-23;91336;
2014-01-24;96517;
2014-01-25;102090;
2014-01-26;98262;
2014-01-27;28162;
2014-01-28;95063;
2014-01-29;93940;
2014-01-30;91432;
2014-01-31;95869;
2014-02-01;119764;
2014-02-02;102040;
2014-02-03;94627;
2014-02-04;94403;
2014-02-05;96983;
2014-02-06;95922;
2014-02-07;99287;
2014-02-08;108249;
2014-02-09;102815;
2014-02-10;96078;
2014-02-11;92860;
2014-02-12;105010;
2014-02-13;103852;
2014-02-14;102052;
2014-02-15;109545;
2014-02-16;105540;
2014-02-17;102246;
2014-02-18;92269;
2014-02-19;87397;
2014-02-20;107426;
2014-02-21;111669;
2014-02-22;119772;
2014-02-23;113587;
2014-02-24;103608;
2014-02-25;100178;
2014-02-26;96654;
2014-02-27;96348;
2014-02-28;103286;
2014-03-01;164495;
2014-03-02;105065;
2014-03-03;100660;
2014-03-04;97766;
2014-03-05;95877;
2014-03-06;100663;
2014-03-07;107512;
2014-03-08;111893;
2014-03-09;108434;
2014-03-10;100102;
2014-03-11;99558;
2014-03-12;104756;
2014-03-13;121846;
2014-03-14;150972;
2014-03-15;164781;
2014-03-16;151972;
2014-03-17;135984;
2014-03-18;133335;
2014-03-19;130125;
2014-03-20;119803;
2014-03-21;132603;
2014-03-22;140599;
2014-03-23;127843;
2014-03-24;128733;
2014-03-25;126360;
2014-03-26;125248;
2014-03-27;121998;
2014-03-28;128117;
2014-03-29;132269;
2014-03-30;127946;
2014-03-31;120396;
2014-04-01;142526;
2014-04-02;125724;
2014-04-03;130308;
2014-04-04;134282;
2014-04-05;139515;
2014-04-06;132046;
2014-04-07;129869;
2014-04-08;130837;
2014-04-09;133965;
2014-04-10;135327;
2014-04-11;137453;
2014-04-12;143298;
2014-04-13;137875;
2014-04-14;135060;
2014-04-15;131723;
2014-04-16;132748;
2014-04-17;132584;
2014-04-18;130678;
2014-04-19;133582;
2014-04-20;141475;
2014-04-21;134276;
2014-04-22;129081;
2014-04-23;131075;
2014-04-24;129826;
2014-04-25;133163;
2014-04-26;143124;
2014-04-27;131669;
2014-04-28;125681;
2014-04-29;119579;
2014-04-30;134364;
2014-05-01;170137;
2014-05-02;161779;
2014-05-03;173629;
2014-05-04;154914;
2014-05-05;152969;
2014-05-06;147642;
2014-05-07;152119;
2014-05-08;150519;
2014-05-09;152722;
2014-05-10;160519;
2014-05-11;151530;
2014-05-12;144348;
2014-05-13;137862;
2014-05-14;115401;
2014-05-15;139932;
2014-05-16;139138;
2014-05-17;150584;
2014-05-18;140332;
2014-05-19;137078;
2014-05-20;134229;
2014-05-21;133107;
2014-05-22;135747;
2014-05-23;135077;
2014-05-24;146158;
2014-05-25;149526;
2014-05-26;134705;
2014-05-27;136515;
2014-05-28;133703;
2014-05-29;128874;
2014-05-30;127206;
2014-05-31;141587;
2014-06-01;164134;
2014-06-02;133685;
2014-06-03;131590;
2014-06-04;128045;
2014-06-05;125517;
2014-06-06;124209;
2014-06-07;133192;
2014-06-08;130675;
2014-06-09;137338;
2014-06-10;133723;
2014-06-11;130179;
2014-06-12;121324;
2014-06-13;125319;
2014-06-14;139039;
2014-06-15;147677;
2014-06-16;144416;
2014-06-17;139352;
2014-06-18;131798;
2014-06-19;123559;
2014-06-20;123722;
2014-06-21;148769;
2014-06-22;145153;
2014-06-23;146010;
2014-06-24;150051;
2014-06-25;154182;
2014-06-26;146875;
2014-06-27;145018;
2014-06-28;162626;
2014-06-29;165292;
2014-06-30;160439;
2014-07-01;194016;
2014-07-02;183071;
2014-07-03;170854;
2014-07-04;157654;
2014-07-05;173510;
2014-07-06;171220;
2014-07-07;163294;
2014-07-08;158216;
2014-07-09;158035;
2014-07-10;162225;
2014-07-11;160536;
2014-07-12;150723;
2014-07-13;165848;
2014-07-14;165791;
2014-07-15;161747;
2014-07-16;156178;
2014-07-17;153326;
2014-07-18;145907;
2014-07-19;162164;
2014-07-20;156268;
2014-07-21;163137;
2014-07-22;158315;
2014-07-23;156353;
2014-07-24;152883;
2014-07-25;151488;
2014-07-26;167430;
2014-07-27;171261;
2014-07-28;167757;
2014-07-29;166642;
2014-07-30;161796;
2014-07-31;162881;
2014-08-01;277192;
2014-08-02;178670;
2014-08-03;189853;
2014-08-04;186021;
2014-08-05;170376;
2014-08-06;180958;
2014-08-07;178871;
2014-08-08;176850;
2014-08-09;191704;
2014-08-10;183412;
2014-08-11;184545;
2014-08-12;187733;
2014-08-13;227074;
2014-08-14;224200;
2014-08-15;247871;
2014-08-16;275014;
2014-08-17;245554;
2014-08-18;220847;
2014-08-19;217633;
2014-08-20;212574;
2014-08-21;208364;
2014-08-22;210841;
2014-08-23;228936;
2014-08-24;213502;
2014-08-25;211170;
2014-08-26;200193;
2014-08-27;208428;
2014-08-28;209288;
2014-08-29;220227;
2014-08-30;220409;
2014-08-31;227276;
2014-09-01;242494;
2014-09-02;205170;
2014-09-03;199955;
2014-09-04;216998;
2014-09-05;232911;
2014-09-06;241620;
2014-09-07;217032;
2014-09-08;209270;
2014-09-09;204605;
2014-09-10;207622;
2014-09-11;225640;
2014-09-12;240450;
2014-09-13;239484;
2014-09-14;225370;
2014-09-15;212225;
2014-09-16;212261;
2014-09-17;212285;
2014-09-18;221505;
2014-09-19;235786;
2014-09-20;235997;
2014-09-21;218868;
